id,dogId,measureTime,ax,ay,az,bcg,gx,gy,gz,temperature
79008,6,2024-08-24 13:40:58.346+00,8192,9528,-2854,8738,13244,11425,-947,38.50434875488281
79013,6,2024-08-24 13:40:58.396+00,7634,12122,-11866,8580,9217,12721,6700,38.50434875488281
79018,6,2024-08-24 13:40:58.445+00,10390,10250,-8822,7586,-6109,-2128,6218,38.50434875488281
79023,6,2024-08-24 13:40:58.495+00,6942,7290,-6344,10244,-13777,-3542,6731,38.50434875488281
79024,6,2024-08-24 13:40:58.505+00,7680,8836,-8412,9726,-10710,-1265,7842,38.50434875488281
79028,6,2024-08-24 13:40:58.545+00,8964,13692,-4758,7560,-4940,164,18503,38.50434875488281
79029,6,2024-08-24 13:40:58.555+00,6828,11080,-5122,7193,-5768,-2146,19454,38.50434875488281
79033,6,2024-08-24 13:40:58.596+00,12288,7238,-9752,7454,-54,-13722,14965,38.50434875488281
79034,6,2024-08-24 13:40:58.606+00,14636,8424,-9486,7936,496,-12923,13089,38.50434875488281
79038,6,2024-08-24 13:40:58.646+00,14156,8130,-9858,8206,-830,-3417,5917,38.50434875488281
78753,6,2024-08-24 13:40:55.791+00,3400,11532,-8490,8653,-1891,10063,-12168,38.50434875488281
78758,6,2024-08-24 13:40:55.842+00,4470,16662,-5534,8646,-3722,8223,-1425,38.50434875488281
78763,6,2024-08-24 13:40:55.892+00,5144,7956,-14278,7469,-1529,10853,6051,38.50434875488281
78768,6,2024-08-24 13:40:55.943+00,9234,20678,-5878,8184,-4854,-4843,1289,38.50434875488281
78773,6,2024-08-24 13:40:55.993+00,6892,11572,-2184,8509,-4068,596,-1324,38.50434875488281
78778,6,2024-08-24 13:40:56.043+00,5438,10412,-2380,8559,1397,2254,-3163,38.50434875488281
78783,6,2024-08-24 13:40:56.094+00,5958,12270,-4562,7995,7146,2046,-1773,38.50434875488281
78788,6,2024-08-24 13:40:56.141+00,6516,15046,-3362,8061,9607,979,-231,38.50434875488281
78793,6,2024-08-24 13:40:56.193+00,8116,17456,-10010,9105,5232,-3160,1931,38.50434875488281
78798,6,2024-08-24 13:40:56.243+00,7828,15770,-6916,8320,9931,3400,-4317,38.50434875488281
78803,6,2024-08-24 13:40:56.293+00,4956,9936,-8454,8575,2856,10076,-7498,38.50434875488281
78808,6,2024-08-24 13:40:56.344+00,6856,13878,-8754,8330,-2188,3039,-3705,38.50434875488281
78813,6,2024-08-24 13:40:56.394+00,7150,11878,-3512,8200,-7601,6141,-218,38.50434875488281
78818,6,2024-08-24 13:40:56.444+00,3996,10622,-9572,7422,-4667,11397,3910,38.50434875488281
78823,6,2024-08-24 13:40:56.493+00,6820,20250,-7350,7712,-863,-4950,12221,38.50434875488281
78828,6,2024-08-24 13:40:56.543+00,7664,8288,-4350,7328,-78,-3168,6215,38.50434875488281
78833,6,2024-08-24 13:40:56.593+00,9072,11734,-6748,8211,2604,-5463,2989,38.50434875488281
78838,6,2024-08-24 13:40:56.644+00,8542,9170,-5448,7257,3445,-14,-6382,38.50434875488281
78843,6,2024-08-24 13:40:56.694+00,10642,15392,-6970,7977,1855,-5406,559,38.50434875488281
78848,6,2024-08-24 13:40:56.744+00,11522,13628,-8572,7138,7144,-3479,-1864,38.50434875488281
78853,6,2024-08-24 13:40:56.792+00,8850,15438,-9266,8858,11692,-1324,-6233,38.50434875488281
78858,6,2024-08-24 13:40:56.843+00,5728,7990,-9182,8718,6074,7371,-3955,38.50434875488281
78863,6,2024-08-24 13:40:56.894+00,5504,13332,-9842,8129,2417,9318,-4175,38.50434875488281
78868,6,2024-08-24 13:40:56.944+00,6698,11762,-5568,8611,-8631,2596,-1602,38.50434875488281
78873,6,2024-08-24 13:40:56.994+00,9942,11040,-10850,7557,-7165,10551,3424,38.50434875488281
78878,6,2024-08-24 13:40:57.045+00,4154,18706,-8680,7966,-4413,-2673,12353,38.50434875488281
78883,6,2024-08-24 13:40:57.095+00,8406,7056,-5830,7043,-3807,-9605,7665,38.50434875488281
78888,6,2024-08-24 13:40:57.142+00,10626,12796,-5916,8125,2198,-2592,6846,38.50434875488281
78893,6,2024-08-24 13:40:57.194+00,7604,9016,-7184,7713,1460,-470,-7654,38.50434875488281
78898,6,2024-08-24 13:40:57.244+00,9378,11460,-7398,7968,-741,-5593,-1991,38.50434875488281
78903,6,2024-08-24 13:40:57.294+00,10194,15956,-7640,9219,9479,-3672,-7763,38.50434875488281
78908,6,2024-08-24 13:40:57.345+00,5960,7000,-6916,8600,6844,11779,-6106,38.50434875488281
78913,6,2024-08-24 13:40:57.395+00,6184,11940,-10804,8641,6526,10150,671,38.50434875488281
78918,6,2024-08-24 13:40:57.445+00,9414,12356,-7962,8285,-1453,4496,3210,38.50434875488281
78923,6,2024-08-24 13:40:57.494+00,7206,7748,-8844,8681,-6518,7186,3181,38.50434875488281
78928,6,2024-08-24 13:40:57.544+00,11434,14874,-8824,7356,-4093,-816,11533,38.50434875488281
78933,6,2024-08-24 13:40:57.595+00,12776,10030,-6830,6401,-2929,-6161,6921,38.50434875488281
78938,6,2024-08-24 13:40:57.645+00,12992,7628,-6322,8186,-5800,-8753,2047,38.50434875488281
78943,6,2024-08-24 13:40:57.695+00,9578,11150,-6862,8149,-7647,-780,-564,38.50434875488281
78764,6,2024-08-24 13:40:55.902+00,8142,11156,-13078,6233,1722,7100,7153,38.50434875488281
78769,6,2024-08-24 13:40:55.953+00,9228,17270,-6418,8337,-5794,-2940,-1279,38.50434875488281
78774,6,2024-08-24 13:40:56.003+00,7174,9956,-1992,8002,-3872,721,-1581,38.50434875488281
78779,6,2024-08-24 13:40:56.054+00,5260,10376,-3378,8325,3507,4683,-3167,38.50434875488281
78784,6,2024-08-24 13:40:56.104+00,5958,12270,-4562,7414,7146,2046,-1773,38.50434875488281
78789,6,2024-08-24 13:40:56.151+00,6618,15476,-1718,7628,8546,3500,-2497,38.50434875488281
78794,6,2024-08-24 13:40:56.203+00,9084,17806,-10266,8846,6793,-2582,1217,38.50434875488281
78799,6,2024-08-24 13:40:56.253+00,6758,13084,-7586,8067,8391,5910,-5178,38.50434875488281
78804,6,2024-08-24 13:40:56.303+00,5202,10744,-9520,8683,1430,8720,-7188,38.50434875488281
78809,6,2024-08-24 13:40:56.354+00,6590,14176,-7792,8462,-2690,1851,-3429,38.50434875488281
78814,6,2024-08-24 13:40:56.404+00,6902,11556,-1842,7855,-9861,8838,1948,38.50434875488281
78819,6,2024-08-24 13:40:56.454+00,3996,10622,-9572,7093,-4667,11397,3910,38.50434875488281
78824,6,2024-08-24 13:40:56.503+00,8500,19516,-6310,7593,-789,-3684,9916,38.50434875488281
78829,6,2024-08-24 13:40:56.553+00,9074,8504,-5278,7533,1186,-4328,5862,38.50434875488281
78834,6,2024-08-24 13:40:56.603+00,9078,12076,-6704,8371,2520,-4886,1358,38.50434875488281
78839,6,2024-08-24 13:40:56.654+00,8264,9220,-5260,7509,3957,-1924,-7049,38.50434875488281
78844,6,2024-08-24 13:40:56.704+00,9002,14908,-5110,7939,2589,-2864,117,38.50434875488281
78849,6,2024-08-24 13:40:56.752+00,11522,13628,-8572,7996,7144,-3479,-1864,38.50434875488281
78854,6,2024-08-24 13:40:56.802+00,7428,13530,-6154,8406,8328,2303,-5408,38.50434875488281
78859,6,2024-08-24 13:40:56.853+00,6060,9042,-8872,8818,5555,8231,-3915,38.50434875488281
