id,dogId,measureTime,ax,ay,az,bcg,gx,gy,gz,temperature
1136681,13,2024-08-24 20:48:58.125+00,-4100,-14200,-9612,8583,-97,9196,8095,38.75802993774414
1136684,13,2024-08-24 20:48:58.155+00,-3976,-13380,-9388,8047,972,8014,5434,38.75802993774414
1136687,13,2024-08-24 20:48:58.185+00,-4288,-14430,-9322,8004,1490,5710,2136,38.75802993774414
1136690,13,2024-08-24 20:48:58.216+00,-4334,-14344,-8128,8407,2996,2440,2219,38.75802993774414
1136693,13,2024-08-24 20:48:58.246+00,-3034,-12752,-7812,7863,1975,3342,78,38.75802993774414
1136696,13,2024-08-24 20:48:58.276+00,-2672,-14536,-8768,8081,1673,2409,-446,38.75802993774414
1136699,13,2024-08-24 20:48:58.306+00,-2666,-14150,-7968,8019,3233,3025,-237,38.75802993774414
1136702,13,2024-08-24 20:48:58.336+00,-2800,-13894,-8394,8132,3137,1753,-631,38.75802993774414
1136705,13,2024-08-24 20:48:58.365+00,-2676,-12690,-7484,8203,1403,134,-422,38.75802993774414
1136708,13,2024-08-24 20:48:58.395+00,-2504,-13780,-7328,8124,326,-364,-772,38.75802993774414
1136711,13,2024-08-24 20:48:58.425+00,-1426,-13686,-7414,7993,118,250,-232,38.75802993774414
1136714,13,2024-08-24 20:48:58.455+00,-1722,-14260,-8050,8261,-331,45,-65,38.75802993774414
1136717,13,2024-08-24 20:48:58.486+00,-2330,-13502,-7586,8405,-995,-218,721,38.75802993774414
1136720,13,2024-08-24 20:48:58.516+00,-2086,-14818,-7450,8177,-818,115,337,38.75802993774414
1136723,13,2024-08-24 20:48:58.546+00,-2436,-14208,-8150,8133,57,1355,-157,38.75802993774414
1136726,13,2024-08-24 20:48:58.576+00,-2560,-14208,-8102,8014,-136,-111,-383,38.75802993774414
1136729,13,2024-08-24 20:48:58.606+00,-1944,-13662,-7974,8132,-281,-1860,-389,38.77138137817383
1136732,13,2024-08-24 20:48:58.645+00,-1778,-13844,-8406,8166,-635,-1501,-154,38.77138137817383
1136735,13,2024-08-24 20:48:58.675+00,-1602,-14652,-8396,8164,297,-988,403,38.77138137817383
1136738,13,2024-08-24 20:48:58.705+00,-1894,-13478,-8160,8066,128,-717,-415,38.77138137817383
1136741,13,2024-08-24 20:48:58.735+00,-2216,-14086,-7924,8125,175,-949,-498,38.77138137817383
1136744,13,2024-08-24 20:48:58.765+00,-2202,-13556,-6994,8129,-236,-840,-316,38.77138137817383
1136747,13,2024-08-24 20:48:58.796+00,-1138,-14030,-7718,7770,-1458,137,-557,38.77138137817383
1136750,13,2024-08-24 20:48:58.826+00,-1220,-14402,-8008,8215,-1061,640,1404,38.77138137817383
1136753,13,2024-08-24 20:48:58.856+00,-1554,-13946,-7808,8179,-527,1671,1627,38.77138137817383
1136756,13,2024-08-24 20:48:58.886+00,-1700,-14694,-8584,7965,-161,1757,410,38.77138137817383
1136759,13,2024-08-24 20:48:58.917+00,-1730,-13556,-8936,8268,-934,1316,1416,38.77138137817383
1136762,13,2024-08-24 20:48:58.947+00,-2160,-13540,-8706,8257,-183,754,887,38.77138137817383
1136765,13,2024-08-24 20:48:58.977+00,-1712,-13486,-8566,8125,-222,577,960,38.77138137817383
1136768,13,2024-08-24 20:48:59.005+00,-2432,-14238,-8344,8039,210,684,878,38.77138137817383
1136771,13,2024-08-24 20:48:59.035+00,-1928,-13254,-7836,7936,-134,746,695,38.77138137817383
1136774,13,2024-08-24 20:48:59.066+00,-1430,-13814,-8374,8146,-628,803,525,38.77138137817383
1136777,13,2024-08-24 20:48:59.096+00,-1582,-14616,-8202,8159,-314,1618,1430,38.77138137817383
1136780,13,2024-08-24 20:48:59.126+00,-1780,-13616,-8634,8080,-86,3053,800,38.77138137817383
1136783,13,2024-08-24 20:48:59.156+00,-2480,-14030,-8686,8104,646,1368,389,38.77138137817383
1136786,13,2024-08-24 20:48:59.186+00,-2504,-13482,-8486,8172,-228,-261,-121,38.77138137817383
1136789,13,2024-08-24 20:48:59.217+00,-1572,-13154,-9318,8274,-743,-936,-1329,38.77138137817383
1136792,13,2024-08-24 20:48:59.247+00,-1268,-13612,-8410,8134,-327,450,-198,38.77138137817383
1136795,13,2024-08-24 20:48:59.277+00,-2086,-13592,-8844,8053,-224,746,-251,38.77138137817383
1136798,13,2024-08-24 20:48:59.307+00,-2286,-13210,-8278,7979,-428,-118,-440,38.77138137817383
1136801,13,2024-08-24 20:48:59.336+00,-1708,-13780,-8374,8136,-1157,-1770,-467,38.77138137817383
1136804,13,2024-08-24 20:48:59.366+00,-834,-13900,-8416,8078,-1543,-308,-294,38.77138137817383
1136807,13,2024-08-24 20:48:59.396+00,-1162,-13746,-8880,8108,-1521,1432,98,38.77138137817383
1136810,13,2024-08-24 20:48:59.426+00,-1694,-14020,-9148,8220,-282,1245,-202,38.77138137817383
1136813,13,2024-08-24 20:48:59.456+00,-2236,-13830,-9416,8088,-275,1210,121,38.77138137817383
1136816,13,2024-08-24 20:48:59.487+00,-1286,-12850,-9790,8188,-285,-91,148,38.77138137817383
1136819,13,2024-08-24 20:48:59.517+00,-1336,-13260,-9536,8244,325,152,55,38.77138137817383
1136822,13,2024-08-24 20:48:59.547+00,-1626,-13358,-9166,8108,807,683,439,38.77138137817383
1136825,13,2024-08-24 20:48:59.577+00,-1882,-13422,-8830,8030,607,346,64,38.77138137817383
1136828,13,2024-08-24 20:48:59.607+00,-1430,-13294,-9036,8062,110,-12,128,38.77138137817383
1136831,13,2024-08-24 20:48:59.638+00,-1326,-13572,-8476,8182,157,65,801,38.77138137817383
1136834,13,2024-08-24 20:48:59.668+00,-1596,-14096,-8876,8124,-98,1176,931,38.77138137817383
1136837,13,2024-08-24 20:48:59.696+00,-1806,-13300,-8980,8197,206,1432,732,38.77138137817383
1136840,13,2024-08-24 20:48:59.726+00,-1896,-13546,-9404,8120,789,-42,390,38.77138137817383
1136843,13,2024-08-24 20:48:59.757+00,-1730,-13340,-9322,8115,-293,112,351,38.77138137817383
1136846,13,2024-08-24 20:48:59.787+00,-1324,-12516,-9706,8282,-58,255,-116,38.77138137817383
1136849,13,2024-08-24 20:48:59.817+00,-1472,-13422,-9134,8122,251,266,232,38.77138137817383
1136852,13,2024-08-24 20:48:59.847+00,-2200,-13652,-9070,8085,441,-29,-400,38.77138137817383
1136855,13,2024-08-24 20:48:59.877+00,-1844,-12952,-8652,8016,-54,-596,43,38.77138137817383
1136858,13,2024-08-24 20:48:59.908+00,-1414,-13474,-8574,8152,-358,-987,-61,38.77138137817383
1136861,13,2024-08-24 20:48:59.938+00,-1404,-13448,-8796,8088,-1104,428,276,38.77138137817383
1136864,13,2024-08-24 20:48:59.966+00,-1772,-13570,-9006,8180,-757,1079,154,38.77138137817383
1136867,13,2024-08-24 20:48:59.996+00,-1600,-13796,-9320,8001,115,703,-496,38.77138137817383
1136870,13,2024-08-24 20:49:00.026+00,-1826,-13380,-9482,8257,-287,-350,478,38.77138137817383
1136873,13,2024-08-24 20:49:00.057+00,-1594,-12692,-10170,8104,-600,-628,-404,38.77138137817383
1136876,13,2024-08-24 20:49:00.087+00,-1100,-12722,-9370,8160,167,-651,-481,38.77138137817383
1136879,13,2024-08-24 20:49:00.117+00,-1904,-13812,-9350,8172,358,-622,71,38.77138137817383
1136882,13,2024-08-24 20:49:00.147+00,-1826,-13394,-8970,7926,543,-169,-328,38.77138137817383
1136885,13,2024-08-24 20:49:00.178+00,-1106,-13008,-8696,8154,193,-1010,-221,38.77138137817383
1136888,13,2024-08-24 20:49:00.208+00,-1156,-13994,-8680,8065,-198,679,-54,38.77138137817383
1136891,13,2024-08-24 20:49:00.238+00,-1682,-13332,-8946,8241,-372,1093,720,38.77138137817383
1136894,13,2024-08-24 20:49:00.268+00,-1660,-13494,-9148,7993,-86,1563,-57,38.77138137817383
1136897,13,2024-08-24 20:49:00.298+00,-1578,-13444,-9824,8249,157,-178,563,38.77138137817383
1136610,13,2024-08-24 20:48:57.404+00,-1314,-13984,-7642,8022,-1118,-19658,-5345,38.77138137817383
1136613,13,2024-08-24 20:48:57.434+00,-2116,-13422,-7880,8309,-686,-23068,-3817,38.77138137817383
1136616,13,2024-08-24 20:48:57.464+00,-4164,-12860,-3602,9064,-2704,-27493,-4132,38.77138137817383
1136619,13,2024-08-24 20:48:57.495+00,-6714,-12206,-5632,8451,-6824,-26574,-5632,38.77138137817383
1136622,13,2024-08-24 20:48:57.525+00,-6502,-13744,-7522,7943,-7854,-24327,-7637,38.77138137817383
1136625,13,2024-08-24 20:48:57.555+00,-2600,-14930,-7862,7571,-7432,-17222,-8084,38.77138137817383
1136628,13,2024-08-24 20:48:57.585+00,-2216,-14620,-7560,8080,-5989,-9194,-8997,38.77138137817383
1136631,13,2024-08-24 20:48:57.615+00,-2566,-13944,-7990,7855,-4158,-6119,-7408,38.75802993774414
1136634,13,2024-08-24 20:48:57.654+00,-3608,-13634,-7022,8522,-3279,-9672,-5418,38.75802993774414
1136637,13,2024-08-24 20:48:57.684+00,-3564,-14634,-7262,8206,-1939,-8065,-3708,38.75802993774414
1136640,13,2024-08-24 20:48:57.714+00,-648,-13474,-7422,8071,-2668,-3064,-3550,38.75802993774414
1136643,13,2024-08-24 20:48:57.744+00,-1938,-15016,-7710,8428,-3086,-827,-2806,38.75802993774414
1136646,13,2024-08-24 20:48:57.774+00,-3416,-16158,-9062,9031,1032,578,-286,38.75802993774414
1136649,13,2024-08-24 20:48:57.805+00,-3414,-16498,-8188,8433,4721,7492,985,38.75802993774414
1136652,13,2024-08-24 20:48:57.835+00,-1744,-16076,-5698,7782,7753,23023,1692,38.75802993774414
1136655,13,2024-08-24 20:48:57.865+00,-294,-14240,-7364,7363,5828,32428,4265,38.75802993774414
1136658,13,2024-08-24 20:48:57.895+00,2572,-13536,-6952,6427,4475,30000,5642,38.75802993774414
1136661,13,2024-08-24 20:48:57.926+00,5154,-14540,-6504,7480,7214,23110,12387,38.75802993774414
1136664,13,2024-08-24 20:48:57.956+00,7042,-12130,-6568,7770,3987,27367,16442,38.75802993774414
1136667,13,2024-08-24 20:48:57.986+00,3866,-11482,-6574,8031,528,31310,18414,38.75802993774414
1136670,13,2024-08-24 20:48:58.014+00,-280,-11120,-7670,7897,-3804,32327,19417,38.75802993774414
1136673,13,2024-08-24 20:48:58.044+00,-4660,-12876,-11062,8859,-7562,22981,17582,38.75802993774414
1136676,13,2024-08-24 20:48:58.075+00,-5344,-15820,-10354,8632,-3804,16859,14238,38.75802993774414
1136679,13,2024-08-24 20:48:58.105+00,-3966,-14650,-11906,7506,-1047,12886,8078,38.75802993774414
1136682,13,2024-08-24 20:48:58.135+00,-3916,-13418,-8474,8393,551,9101,7768,38.75802993774414
1136685,13,2024-08-24 20:48:58.165+00,-4164,-13784,-9470,8091,1122,7400,4025,38.75802993774414
1136688,13,2024-08-24 20:48:58.195+00,-4132,-14282,-9036,7953,1722,4811,1959,38.75802993774414
1136691,13,2024-08-24 20:48:58.226+00,-3964,-13630,-7204,8355,2510,2274,1695,38.75802993774414
1136694,13,2024-08-24 20:48:58.256+00,-2646,-12928,-8330,7930,1680,3050,-320,38.75802993774414
1136697,13,2024-08-24 20:48:58.286+00,-2666,-14988,-8576,8173,2277,2542,-100,38.75802993774414
1136700,13,2024-08-24 20:48:58.316+00,-2530,-13834,-7978,7935,3298,2810,-627,38.75802993774414
1136703,13,2024-08-24 20:48:58.345+00,-2732,-13578,-8036,8175,2700,1128,-466,38.75802993774414
1136706,13,2024-08-24 20:48:58.375+00,-2732,-12662,-7294,8204,649,-290,-518,38.75802993774414
1136709,13,2024-08-24 20:48:58.405+00,-2192,-14054,-7300,8049,450,-297,-642,38.75802993774414
